ID,CH1_GENRE
185,Informative Nonfiction
186,Humor & Funny Stories
188,Media
188,How-To
189,Fantasy
189,School Stories
195,Historical Fiction
195,Action & Adventure
196,Narrative Nonfiction
197,Humor & Funny Stories
197,Action & Adventure
198,How-To
198,Media
199,Fantasy
200,Humor & Funny Stories
205,Historical Fiction
205,Young Adult
207,Realistic Fiction
208,Humor & Funny Stories
208,Action & Adventure
209,Media
210,Media
211,School Stories
211,Realistic Fiction
212,How-To
213,Biography & Autobiography
214,Classics
214,Realistic Fiction
215,Fantasy
215,Humor & Funny Stories
217,Fairy Tales
217,Folk Tales & Fables
218,Fantasy
219,Fantasy
220,Action & Adventure
220,Science Fiction
220,Mystery & Suspense
222,Records
222,Fun Facts & Interactive
223,School Stories
223,Animal Stories
224,Humor & Funny Stories
224,Poetry
224,Songs & Verse
225,Records
225,Fun Facts & Interactive
226,Humor & Funny Stories
227,Poetry
227,Songs & Verse
228,Humor & Funny Stories
228,Poetry
228,Songs & Verse
229,Informative Nonfiction
230,Media
232,Records
232,Fun Facts & Interactive
232,How-To
233,Fantasy
233,Historical Fiction
234,Fantasy
235,Fantasy
235,School Stories
236,Action & Adventure
236,Media
236,Fantasy
237,Realistic Fiction
238,Fantasy
239,Narrative Nonfiction
240,Informative Nonfiction
241,Reference
241,Records
241,Fun Facts & Interactive
242,Historical Fiction
242,Action & Adventure
243,Informative Nonfiction
244,Historical Fiction
245,Records
245,Fun Facts & Interactive
246,Action & Adventure
248,Humor & Funny Stories
249,Realistic Fiction
251,Realistic Fiction
252,Narrative Nonfiction
254,School Stories
254,Humor & Funny Stories
255,Informative Nonfiction
255,Records
255,Fun Facts & Interactive
257,Historical Fiction
257,Action & Adventure
259,School Stories
259,Humor & Funny Stories
260,Classics
260,Fantasy
261,Humor & Funny Stories
262,Humor & Funny Stories
265,Informative Nonfiction
266,Records
266,Fun Facts & Interactive
266,Media
268,Action & Adventure
268,Science Fiction
269,Humor & Funny Stories
270,Media
272,Media
273,Action & Adventure
273,Media
274,Realistic Fiction
274,Young Adult
277,Historical Fiction
277,Animal Stories
278,Action & Adventure
279,Action & Adventure
279,Science Fiction
279,Mystery & Suspense
280,Spooky Stories
283,Action & Adventure
283,Media
284,Humor & Funny Stories
285,Fantasy
286,Realistic Fiction
287,Fantasy
287,Action & Adventure
288,Historical Fiction
289,Action & Adventure
289,Media
290,Media
291,Humor & Funny Stories
292,Animal Stories
293,School Stories
295,Realistic Fiction
296,Humor & Funny Stories
296,Action & Adventure
297,Realistic Fiction
297,Animal Stories
298,Informative Nonfiction
299,Fantasy
299,Historical Fiction
300,Historical Fiction
301,Media
302,Spooky Stories
305,Fantasy
305,Media
307,Informative Nonfiction
307,Records
307,Fun Facts & Interactive
308,Informative Nonfiction
308,Records
308,Fun Facts & Interactive
309,Mystery & Suspense
310,Humor & Funny Stories
311,Action & Adventure
311,Media
312,School Stories
312,Humor & Funny Stories
314,Media
315,Action & Adventure
315,Media
316,Humor & Funny Stories
317,Humor & Funny Stories
318,Historical Fiction
318,Action & Adventure
319,Horror & Supernatural
320,Media
320,Action & Adventure
321,Animal Stories
323,Historical Fiction
323,Animal Stories
324,Horror & Supernatural
324,Media
327,Humor & Funny Stories
328,Humor & Funny Stories
329,Historical Fiction
329,Action & Adventure
330,Media
331,Reference
331,Records
331,Fun Facts & Interactive
332,Fantasy
333,Humor & Funny Stories
333,Media
336,Classics
337,Fantasy
338,Action & Adventure
339,Historical Fiction
339,Action & Adventure
340,Fantasy
342,Humor & Funny Stories
343,Humor & Funny Stories
344,Humor & Funny Stories
345,Humor & Funny Stories
346,Humor & Funny Stories
347,Humor & Funny Stories
348,Poetry
348,Songs & Verse
350,Humor & Funny Stories
351,Humor & Funny Stories
322,Humor & Funny Stories
322,Action & Adventure
352,Spooky Stories
353,Realistic Fiction
354,Classics
354,Mystery & Suspense
355,School Stories
356,School Stories
356,Humor & Funny Stories
357,Humor & Funny Stories
357,Poetry
357,Songs & Verse
358,Humor & Funny Stories
358,Science Fiction
358,Media
359,Records
359,Fun Facts & Interactive
359,Informative Nonfiction
360,Action & Adventure
360,Animal Stories
362,Poetry
362,Songs & Verse
364,Poetry
364,Songs & Verse
365,Informative Nonfiction
365,Records
365,Fun Facts & Interactive
367,Humor & Funny Stories
368,Animal Stories
369,Action & Adventure
369,Media
370,Humor & Funny Stories
371,Humor & Funny Stories
372,Horror & Supernatural
372,Mystery & Suspense
373,Humor & Funny Stories
374,Informative Nonfiction
374,Media
375,Informative Nonfiction
375,Records
375,Fun Facts & Interactive
376,Realistic Fiction
377,Humor & Funny Stories
378,Records
378,Fun Facts & Interactive
379,Records
379,Fun Facts & Interactive
380,Horror & Supernatural
381,Media
381,Action & Adventure
382,Humor & Funny Stories
382,School Stories
383,Classics
383,Animal Stories
385,Humor & Funny Stories
119,Humor & Funny Stories
386,Fantasy
387,School Stories
387,Humor & Funny Stories
388,Fantasy
389,School Stories
389,Animal Stories
390,Biography & Autobiography
391,Biography & Autobiography
392,Historical Fiction
393,Informative Nonfiction
393,Records
393,Fun Facts & Interactive
394,Humor & Funny Stories
395,Fairy Tales
395,Folk Tales & Fables
395,Humor & Funny Stories
396,Humor & Funny Stories
397,Media
397,Humor & Funny Stories
398,Fantasy
398,Mystery & Suspense
399,Records
399,Fun Facts & Interactive
400,Horror & Supernatural
400,Young Adult
401,Romance
401,Young Adult
403,Humor & Funny Stories
405,Humor & Funny Stories
410,Realistic Fiction
410,School Stories
411,Informative Nonfiction
411,Humor & Funny Stories
412,Action & Adventure
412,Humor & Funny Stories
414,Humor & Funny Stories
313,Action & Adventure
313,Humor & Funny Stories
415,Informative Nonfiction
415,Records
415,Fun Facts & Interactive
416,Biography & Autobiography
417,Humor & Funny Stories
418,Humor & Funny Stories
420,Media
420,Action & Adventure
421,Informative Nonfiction
422,Realistic Fiction
423,Humor & Funny Stories
424,Humor & Funny Stories
425,Historical Fiction
426,School Stories
428,Realistic Fiction
428,Classics
429,How-To
430,Biography & Autobiography
431,Informative Nonfiction
43,Horror & Supernatural
43,Historical Fiction
432,Historical Fiction
434,Horror & Supernatural
435,Horror & Supernatural
436,Informative Nonfiction
437,Humor & Funny Stories
438,Informative Nonfiction
439,Humor & Funny Stories
440,Fantasy
441,Action & Adventure
442,Action & Adventure
443,Fantasy
444,Action & Adventure
445,Historical Fiction
445,Action & Adventure
446,Fantasy
446,Historical Fiction
447,Fantasy
447,Historical Fiction
448,Classics
449,Informative Nonfiction
453,Humor & Funny Stories
453,School Stories
455,Historical Fiction
455,Animal Stories
456,How-To
457,Historical Fiction
130,Animal Stories
458,Humor & Funny Stories
459,Realistic Fiction
460,Action & Adventure
460,Media
463,Poetry
463,Songs & Verse
463,Humor & Funny Stories
467,Media
468,Records
468,Fun Facts & Interactive
469,Narrative Nonfiction
469,Action & Adventure
471,Humor & Funny Stories
476,Media
478,Action & Adventure
479,Spooky Stories
481,Records
481,Fun Facts & Interactive
481,Media
483,Informative Nonfiction
483,Records
483,Fun Facts & Interactive
484,Action & Adventure
484,Fantasy
486,Action & Adventure
486,Animal Stories
487,School Stories
489,Action & Adventure
489,Media
490,Media
491,Humor & Funny Stories
492,Media
495,Informative Nonfiction
495,Poetry
495,Songs & Verse
496,Horror & Supernatural
496,Young Adult
497,Humor & Funny Stories
498,Action & Adventure
499,Science Fiction
499,Young Adult
499,Action & Adventure
500,Historical Fiction
501,Media
501,Fantasy
502,Narrative Nonfiction
502,Young Adult
503,Historical Fiction
503,Young Adult
504,Mystery & Suspense
504,Young Adult
505,Historical Fiction
506,Realistic Fiction
506,Young Adult
507,Fantasy
507,Young Adult
507,Science Fiction
508,Informative Nonfiction
509,Records
509,Fun Facts & Interactive
509,Media
510,Realistic Fiction
510,Young Adult
511,Humor & Funny Stories
511,Media
513,Realistic Fiction
515,Fantasy
515,Science Fiction
515,Media
516,Realistic Fiction
516,Historical Fiction
518,Narrative Nonfiction
519,Informative Nonfiction
520,Fantasy
521,Science Fiction
521,Action & Adventure
521,Young Adult
521,Media
523,Classics
523,Science Fiction
523,Media
523,Fantasy
524,Fantasy
525,Narrative Nonfiction
526,Romance
526,Young Adult
527,Media
527,Humor & Funny Stories
529,Romance
529,Young Adult
530,School Stories
531,Realistic Fiction
532,Media
532,Action & Adventure
532,Science Fiction
535,Biography & Autobiography
536,Realistic Fiction
538,How-To
539,Horror & Supernatural
539,Media
541,Informative Nonfiction
541,Reference
542,Historical Fiction
543,Informative Nonfiction
544,Media
544,Records
544,Fun Facts & Interactive
545,Horror & Supernatural
545,Young Adult
546,Realistic Fiction
547,Action & Adventure
547,Young Adult
548,Humor & Funny Stories
549,Realistic Fiction
553,Fantasy
554,Action & Adventure
556,Humor & Funny Stories
556,Media
557,Humor & Funny Stories
559,Realistic Fiction
559,Media
560,Media
562,Humor & Funny Stories
563,Records
563,Fun Facts & Interactive
565,Media
567,Humor & Funny Stories
568,Media
570,Realistic Fiction
570,Young Adult
571,Spooky Stories
572,Historical Fiction
573,Humor & Funny Stories
573,School Stories
574,Horror & Supernatural
575,Mystery & Suspense
577,Mystery & Suspense
577,Media
578,Humor & Funny Stories
580,Media
581,Realistic Fiction
582,Action & Adventure
583,Media
584,Horror & Supernatural
585,Realistic Fiction
585,Young Adult
587,Humor & Funny Stories
589,Fantasy
595,Action & Adventure
595,Media
596,Action & Adventure
597,Advice & Inspiration
600,Science Fiction
600,Young Adult
603,Realistic Fiction
605,Realistic Fiction
605,Young Adult
606,Informative Nonfiction
607,Classics
608,Poetry
608,Songs & Verse
608,Humor & Funny Stories
614,Humor & Funny Stories
615,Classics
616,Action & Adventure
616,Science Fiction
616,Media
112,Biography & Autobiography
620,Media
624,Action & Adventure
626,Humor & Funny Stories
627,Fantasy
628,Biography & Autobiography
630,Poetry
630,Songs & Verse
632,Science Fiction
632,School Stories
632,Humor & Funny Stories
633,Humor & Funny Stories
634,Informative Nonfiction
635,Media
636,Mystery & Suspense
637,Animal Stories
637,Humor & Funny Stories
638,Fairy Tales
638,Folk Tales & Fables
639,Classics
639,Fantasy
640,Fantasy
642,Mystery & Suspense
643,School Stories
643,Animal Stories
645,Informative Nonfiction
646,Humor & Funny Stories
648,Realistic Fiction
651,Biography & Autobiography
652,Humor & Funny Stories
652,Records
652,Fun Facts & Interactive
653,Historical Fiction
654,Narrative Nonfiction
655,Science Fiction
655,School Stories
655,Humor & Funny Stories
656,Humor & Funny Stories
657,Fantasy
661,Fairy Tales
661,Folk Tales & Fables
662,Fairy Tales
662,Folk Tales & Fables
666,Classics
667,Narrative Nonfiction
668,Humor & Funny Stories
670,Historical Fiction
670,Action & Adventure
671,Humor & Funny Stories
671,Action & Adventure
672,Animal Stories
673,Media
675,Realistic Fiction
676,Poetry
676,Songs & Verse
677,Historical Fiction
677,Young Adult
678,Informative Nonfiction
679,Poetry
679,Songs & Verse
679,Humor & Funny Stories
680,Humor & Funny Stories
680,Media
681,Informative Nonfiction
682,Realistic Fiction
683,Spooky Stories
684,School Stories
685,Classics
686,Realistic Fiction
686,Young Adult
687,Humor & Funny Stories
687,Poetry
687,Songs & Verse
689,Historical Fiction
690,Media
690,Action & Adventure
691,Informative Nonfiction
692,School Stories
692,Poetry
692,Songs & Verse
693,Informative Nonfiction
696,Realistic Fiction
697,Humor & Funny Stories
698,Realistic Fiction
700,Media
700,Humor & Funny Stories
701,Fairy Tales
701,Folk Tales & Fables
701,Humor & Funny Stories
701,Fantasy
702,Narrative Nonfiction
703,Media
703,Records
703,Fun Facts & Interactive
704,Media
704,Mystery & Suspense
705,Realistic Fiction
705,Mystery & Suspense
706,Humor & Funny Stories
707,Humor & Funny Stories
708,Humor & Funny Stories
708,Animal Stories
709,Reference
709,Informative Nonfiction
710,Action & Adventure
710,Spooky Stories
710,Media
711,Horror & Supernatural
711,Young Adult
712,Fantasy
712,School Stories
713,Humor & Funny Stories
714,Biography & Autobiography
715,Realistic Fiction
716,Fantasy
716,Action & Adventure
718,Mystery & Suspense
718,Action & Adventure
719,Humor & Funny Stories
720,Classics
720,Action & Adventure
721,Action & Adventure
721,Media
722,Records
722,Fun Facts & Interactive
722,Informative Nonfiction
723,Mystery & Suspense
724,Informative Nonfiction
725,Informative Nonfiction
725,Records
725,Fun Facts & Interactive
726,Poetry
726,Songs & Verse
727,Fantasy
727,School Stories
731,Informative Nonfiction
731,Records
731,Fun Facts & Interactive
732,Humor & Funny Stories
733,Poetry
733,Songs & Verse
733,Historical Fiction
734,Action & Adventure
734,Media
735,School Stories
736,Humor & Funny Stories
737,Media
737,Action & Adventure
738,Realistic Fiction
739,Informative Nonfiction
739,Reference
740,Poetry
740,Songs & Verse
740,Humor & Funny Stories
741,Fairy Tales
741,Folk Tales & Fables
741,Media
743,Humor & Funny Stories
744,Informative Nonfiction
744,Humor & Funny Stories
745,Informative Nonfiction
746,Biography & Autobiography
747,Records
747,Fun Facts & Interactive
747,Biography & Autobiography
748,Records
748,Fun Facts & Interactive
749,Realistic Fiction
750,Action & Adventure
750,Media
752,Mystery & Suspense
335,Humor & Funny Stories
754,Mystery & Suspense
754,Young Adult
755,Fairy Tales
755,Folk Tales & Fables
326,Humor & Funny Stories
326,Animal Stories
757,Narrative Nonfiction
758,Informative Nonfiction
760,Fairy Tales
760,Folk Tales & Fables
761,Humor & Funny Stories
762,Horror & Supernatural
763,Humor & Funny Stories
764,Realistic Fiction
764,Young Adult
765,Realistic Fiction
766,Narrative Nonfiction
766,Young Adult
767,Realistic Fiction
767,Animal Stories
768,Action & Adventure
768,Media
770,How-To
770,Informative Nonfiction
771,Biography & Autobiography
772,Humor & Funny Stories
774,Records
774,Fun Facts & Interactive
774,Biography & Autobiography
775,Fantasy
775,Humor & Funny Stories
777,Realistic Fiction
778,Action & Adventure
778,Media
779,Action & Adventure
779,Humor & Funny Stories
780,Humor & Funny Stories
780,School Stories
781,Spooky Stories
782,Fantasy
784,Animal Stories
785,Fantasy
786,Narrative Nonfiction
787,Humor & Funny Stories
788,Informative Nonfiction
788,Reference
789,Fantasy
789,Humor & Funny Stories
790,Advice & Inspiration
791,Mystery & Suspense
791,Action & Adventure
792,Biography & Autobiography
793,Humor & Funny Stories
794,Fairy Tales
794,Folk Tales & Fables
795,Action & Adventure
795,Fantasy
797,Mystery & Suspense
798,Informative Nonfiction
799,Realistic Fiction
800,Humor & Funny Stories
802,Action & Adventure
802,Media
804,Narrative Nonfiction
804,Young Adult
805,Biography & Autobiography
805,Young Adult
806,Animal Stories
807,Realistic Fiction
809,Humor & Funny Stories
809,Mystery & Suspense
811,Action & Adventure
812,School Stories
550,Humor & Funny Stories
550,School Stories
813,Action & Adventure
814,Informative Nonfiction
814,Records
814,Fun Facts & Interactive
815,Action & Adventure
816,Humor & Funny Stories
816,Spooky Stories
817,Humor & Funny Stories
818,Media
818,Humor & Funny Stories
819,Humor & Funny Stories
821,Humor & Funny Stories
822,Fantasy
822,Fairy Tales
822,Folk Tales & Fables
823,Fantasy
823,Historical Fiction
823,Young Adult
826,School Stories
826,Humor & Funny Stories
827,Action & Adventure
827,Young Adult
827,Fantasy
828,Humor & Funny Stories
828,Action & Adventure
829,Narrative Nonfiction
831,Media
831,Informative Nonfiction
831,Records
831,Fun Facts & Interactive
832,School Stories
833,Poetry
833,Songs & Verse
834,Classics
835,Records
835,Fun Facts & Interactive
835,Informative Nonfiction
836,Realistic Fiction
836,School Stories
837,Informative Nonfiction
837,Records
837,Fun Facts & Interactive
838,Narrative Nonfiction
175,Humor & Funny Stories
839,Humor & Funny Stories
840,Action & Adventure
840,Media
841,Humor & Funny Stories
843,Media
844,Humor & Funny Stories
845,Fantasy
846,Informative Nonfiction
846,Records
846,Fun Facts & Interactive
847,Informative Nonfiction
847,Reference
848,Informative Nonfiction
849,Records
849,Fun Facts & Interactive
849,Informative Nonfiction
850,Classics
851,Action & Adventure
851,Media
852,Humor & Funny Stories
853,Animal Stories
854,Horror & Supernatural
854,Fantasy
855,Humor & Funny Stories
856,Humor & Funny Stories
857,Media
858,Media
194,Records
194,Fun Facts & Interactive
194,Informative Nonfiction
859,Humor & Funny Stories
859,Action & Adventure
862,Records
862,Fun Facts & Interactive
863,Humor & Funny Stories
865,Humor & Funny Stories
866,Humor & Funny Stories
867,Humor & Funny Stories
868,Media
869,Realistic Fiction
869,Media
870,Historical Fiction
870,Classics
872,Informative Nonfiction
872,Media
873,Action & Adventure
873,Media
874,Action & Adventure
874,Media
875,Media
875,Action & Adventure
875,Informative Nonfiction
876,Action & Adventure
876,Mystery & Suspense
877,Fantasy
877,Action & Adventure
878,How-To
878,Media
879,Humor & Funny Stories
880,Fantasy
880,Media
881,Humor & Funny Stories
883,Fairy Tales
883,Folk Tales & Fables
883,Humor & Funny Stories
884,Realistic Fiction
885,Realistic Fiction
886,Action & Adventure
886,Humor & Funny Stories
887,Biography & Autobiography
888,Humor & Funny Stories
889,Media
889,Informative Nonfiction
890,Fantasy
891,Romance
891,School Stories
892,Humor & Funny Stories
892,Action & Adventure
893,Biography & Autobiography
896,Humor & Funny Stories
897,School Stories
899,School Stories
899,Humor & Funny Stories
900,Fairy Tales
900,Folk Tales & Fables
900,Humor & Funny Stories
902,Humor & Funny Stories
905,Horror & Supernatural
905,Historical Fiction
907,Humor & Funny Stories
909,School Stories
910,Action & Adventure
910,Mystery & Suspense
911,Humor & Funny Stories
913,Biography & Autobiography
914,Biography & Autobiography
915,Action & Adventure
920,Fantasy
921,Records
921,Fun Facts & Interactive
921,Informative Nonfiction
923,Fantasy
925,Science Fiction
925,Action & Adventure
925,Media
927,Media
928,Humor & Funny Stories
929,Classics
930,Poetry
930,Songs & Verse
930,Spooky Stories
933,Informative Nonfiction
933,Records
933,Fun Facts & Interactive
934,Records
934,Fun Facts & Interactive
935,Action & Adventure
935,Media
936,Informative Nonfiction
938,Records
938,Fun Facts & Interactive
939,Informative Nonfiction
940,Media
940,Action & Adventure
940,Fantasy
942,Historical Fiction
943,Informative Nonfiction
944,Realistic Fiction
944,Media
945,How-To
946,How-To
946,Informative Nonfiction
949,Informative Nonfiction
950,Fantasy
950,Action & Adventure
951,Action & Adventure
951,Media
952,Fantasy
953,Informative Nonfiction
953,Reference
955,Humor & Funny Stories
955,Action & Adventure
957,Action & Adventure
957,Fantasy
961,Horror & Supernatural
962,Fantasy
963,Informative Nonfiction
965,Action & Adventure
965,Science Fiction
965,Mystery & Suspense
966,Fantasy
966,Historical Fiction
967,Informative Nonfiction
968,Biography & Autobiography
970,Media
970,Humor & Funny Stories
971,How-To
971,Informative Nonfiction
973,Humor & Funny Stories
973,Animal Stories
974,Media
974,School Stories
974,Humor & Funny Stories
975,Fantasy
975,Media
976,Media
977,Media
977,Action & Adventure
977,Science Fiction
978,Animal Stories
978,Humor & Funny Stories
979,Fantasy
979,Action & Adventure
980,Animal Stories
980,Mystery & Suspense
981,Media
981,Animal Stories
981,Historical Fiction
982,Mystery & Suspense
982,Young Adult
986,Media
987,Fantasy
987,Action & Adventure
989,Humor & Funny Stories
989,Media
990,Realistic Fiction
990,Young Adult
992,Biography & Autobiography
993,School Stories
994,Informative Nonfiction
994,Biography & Autobiography
996,Classics
997,Spooky Stories
998,School Stories
998,Humor & Funny Stories
1001,School Stories
1002,Media
1002,Action & Adventure
1003,Science Fiction
1003,School Stories
1003,Humor & Funny Stories
1004,Realistic Fiction
579,Realistic Fiction
579,Media
1005,Biography & Autobiography
1005,Poetry
1005,Songs & Verse
1006,Action & Adventure
1007,Informative Nonfiction
1008,Records
1008,Fun Facts & Interactive
1009,Historical Fiction
1009,Mystery & Suspense
1010,Classics
1010,Fantasy
1010,Humor & Funny Stories
1012,Media
1013,Media
1013,Humor & Funny Stories
1014,Media
1015,Realistic Fiction
1017,Fantasy
1017,Action & Adventure
1019,Informative Nonfiction
1020,Humor & Funny Stories
1021,Fantasy
1022,Narrative Nonfiction
1023,Mystery & Suspense
1024,Humor & Funny Stories
1025,Action & Adventure
1025,Humor & Funny Stories
1028,Informative Nonfiction
1029,Realistic Fiction
1030,Humor & Funny Stories
1031,Classics
1032,Realistic Fiction
1033,Humor & Funny Stories
1034,Humor & Funny Stories
1034,Animal Stories
1035,Fantasy
1035,Media
1036,Media
1037,School Stories
1037,Humor & Funny Stories
1038,Media
1040,Informative Nonfiction
1040,Records
1040,Fun Facts & Interactive
1041,Humor & Funny Stories
1041,Media
1044,Records
1044,Fun Facts & Interactive
1044,Informative Nonfiction
1045,Humor & Funny Stories
1045,Action & Adventure
1047,Humor & Funny Stories
1047,Poetry
1047,Songs & Verse
33,Fantasy
1048,Reference
1048,Informative Nonfiction
1049,Fantasy
1050,Fairy Tales
1050,Folk Tales & Fables
1050,Humor & Funny Stories
1052,Media
1054,Spooky Stories
1054,Humor & Funny Stories
1055,Mystery & Suspense
1056,Informative Nonfiction
1056,Records
1056,Fun Facts & Interactive
1057,Animal Stories
1058,Mystery & Suspense
1059,Media
1060,How-To
1061,Realistic Fiction
1062,School Stories
1064,Informative Nonfiction
1064,Records
1064,Fun Facts & Interactive
1065,Realistic Fiction
1066,Realistic Fiction
1066,Young Adult
1067,Mystery & Suspense
1068,Fantasy
1068,Action & Adventure
1069,Realistic Fiction
1069,Humor & Funny Stories
1070,Myths & Legends
1071,Humor & Funny Stories
1073,Informative Nonfiction
1073,How-To
1074,Media
1076,Media
1076,Action & Adventure
1077,Advice & Inspiration
1078,Action & Adventure
1078,Media
204,Poetry
204,Songs & Verse
204,Humor & Funny Stories
1081,Biography & Autobiography
1082,Fantasy
1082,Animal Stories
1082,Media
1083,Historical Fiction
1083,Young Adult
1084,Science Fiction
1084,Young Adult
1085,Media
1085,Humor & Funny Stories
1087,Records
1087,Fun Facts & Interactive
1089,Spooky Stories
1090,Media
1091,Biography & Autobiography
1093,Informative Nonfiction
1094,Media
1095,Humor & Funny Stories
1096,Realistic Fiction
1097,Reference
1099,Realistic Fiction
1100,Realistic Fiction
1103,Biography & Autobiography
1103,Narrative Nonfiction
1104,Narrative Nonfiction
1104,Young Adult
1106,Action & Adventure
1106,Fantasy
1107,School Stories
1108,School Stories
1109,Historical Fiction
1109,Young Adult
1110,Humor & Funny Stories
1110,School Stories
1111,Biography & Autobiography
1115,Informative Nonfiction
1116,Humor & Funny Stories
1116,Action & Adventure
1117,Classics
1117,Fairy Tales
1117,Folk Tales & Fables
1118,Historical Fiction
1119,Fantasy
1119,Humor & Funny Stories
1120,Historical Fiction
1120,Action & Adventure
1120,Fantasy
1121,Historical Fiction
1122,Fantasy
1122,Action & Adventure
1124,Humor & Funny Stories
1125,Informative Nonfiction
1126,School Stories
1127,Media
1128,Humor & Funny Stories
1129,Historical Fiction
1130,Fantasy
1130,School Stories
1131,Young Adult
1132,Narrative Nonfiction
1133,Narrative Nonfiction
1133,Humor & Funny Stories
1133,Animal Stories
1134,Narrative Nonfiction
1135,Humor & Funny Stories
1135,Media
1136,Humor & Funny Stories
1138,Media
1138,Humor & Funny Stories
1140,Spooky Stories
1141,Fantasy
1141,Historical Fiction
1142,Humor & Funny Stories
1142,Media
1143,Horror & Supernatural
972,Fantasy
1144,Records
1144,Fun Facts & Interactive
1145,Young Adult
1145,Romance
1145,Realistic Fiction
1146,Humor & Funny Stories
1146,Media
1147,Informative Nonfiction
1148,Fantasy
1148,Animal Stories
1149,Animal Stories
1150,Mystery & Suspense
1150,Horror & Supernatural
1151,School Stories
1152,Humor & Funny Stories
1153,Realistic Fiction
1154,Realistic Fiction
1154,Young Adult
1155,Informative Nonfiction
1156,Humor & Funny Stories
1157,Realistic Fiction
1158,Fantasy
1159,Historical Fiction
1159,Realistic Fiction
1160,Classics
1161,Realistic Fiction
1162,Media
1163,Animal Stories
1165,Realistic Fiction
1166,Humor & Funny Stories
1167,Informative Nonfiction
1168,Biography & Autobiography
1169,School Stories
1169,Young Adult
1175,Humor & Funny Stories
1175,Fairy Tales
1175,Folk Tales & Fables
1176,School Stories
1177,Fantasy
1178,Fantasy
1181,Action & Adventure
1182,Fantasy
1185,Media
1187,Humor & Funny Stories
1188,Fantasy
1189,Narrative Nonfiction
1189,Media
1190,Media
1191,Science Fiction
1191,Action & Adventure
1191,Media
1192,Media
