zip,type,primary_city,state,county,latitude,longitude
00769,STANDARD,Coamo,PR,Coamo Municipio,18.08,-66.36
00771,STANDARD,Las Piedras,PR,Las Piedras Municipio,18.18,-65.86
00772,STANDARD,Loiza,PR,Loíza Municipio,18.43,-65.88
00773,STANDARD,Luquillo,PR,Luquillo Municipio,18.37,-65.71
00775,PO BOX,Culebra,PR,Culebra Municipio,18.33,-65.3
00777,STANDARD,Juncos,PR,Juncos Municipio,18.22,-65.91
00778,STANDARD,Gurabo,PR,Gurabo Municipio,18.25,-65.97
00780,STANDARD,Coto Laurel,PR,Ponce Municipio,18.09,-66.57
00782,STANDARD,Comerio,PR,Comerío Municipio,18.22,-66.22
00783,STANDARD,Corozal,PR,Corozal Municipio,18.34,-66.31
00784,STANDARD,Guayama,PR,Guayama Municipio,17.97,-66.11
00785,PO BOX,Guayama,PR,,17.97,-66.11
00786,PO BOX,La Plata,PR,Aibonito Municipio,18.16,-66.23
00791,STANDARD,Humacao,PR,Humacao Municipio,18.15,-65.81
00792,PO BOX,Humacao,PR,,18.15,-65.81
00794,STANDARD,Barranquitas,PR,Barranquitas Municipio,18.18,-66.3
00795,STANDARD,Juana Diaz,PR,Juana Díaz Municipio,18.05,-66.5
00801,PO BOX,St Thomas,VI,,18.35,-64.93
00802,STANDARD,St Thomas,VI,,18.35,-64.93
00803,PO BOX,St Thomas,VI,,18.35,-64.93
00804,PO BOX,St Thomas,VI,,18.35,-64.93
00805,PO BOX,St Thomas,VI,,18.34,-64.93
00820,STANDARD,Christiansted,VI,,17.74,-64.7
00821,PO BOX,Christiansted,VI,,17.74,-64.7
00822,PO BOX,Christiansted,VI,,17.74,-64.7
00823,PO BOX,Christiansted,VI,,17.74,-64.7
00824,PO BOX,Christiansted,VI,,17.74,-64.7
00830,STANDARD,St John,VI,,18.33,-64.79
00831,PO BOX,St John,VI,,18.33,-64.79
00840,STANDARD,Frederiksted,VI,,17.71,-64.88
00841,PO BOX,Frederiksted,VI,,17.71,-64.88
00850,STANDARD,Kingshill,VI,,17.76,-64.82
00851,PO BOX,Kingshill,VI,,17.73,-64.8
00901,STANDARD,San Juan,PR,San Juan Municipio,18.47,-66.1
00902,PO BOX,San Juan,PR,,18.4,-66.06
00906,PO BOX,San Juan,PR,San Juan Municipio,18.46,-66.09
00907,STANDARD,San Juan,PR,San Juan Municipio,18.45,-66.08
00908,PO BOX,San Juan,PR,,18.4,-66.06
00909,STANDARD,San Juan,PR,San Juan Municipio,18.44,-66.07
00910,PO BOX,San Juan,PR,,18.4,-66.06
00911,STANDARD,San Juan,PR,San Juan Municipio,18.45,-66.06
00912,STANDARD,San Juan,PR,San Juan Municipio,18.45,-66.06
00913,STANDARD,San Juan,PR,San Juan Municipio,18.45,-66.04
00914,PO BOX,San Juan,PR,,18.4,-66.06
00915,STANDARD,San Juan,PR,San Juan Municipio,18.44,-66.05
00916,PO BOX,San Juan,PR,,18.4,-66.06
00917,STANDARD,San Juan,PR,San Juan Municipio,18.42,-66.05
00918,STANDARD,San Juan,PR,San Juan Municipio,18.42,-66.07
00919,PO BOX,San Juan,PR,,18.4,-66.06
00920,STANDARD,San Juan,PR,San Juan Municipio,18.41,-66.09
00921,STANDARD,San Juan,PR,San Juan Municipio,18.39,-66.09
00922,PO BOX,San Juan,PR,,18.4,-66.06
00923,STANDARD,San Juan,PR,San Juan Municipio,18.41,-66.04
00924,STANDARD,San Juan,PR,San Juan Municipio,18.4,-66.01
00925,STANDARD,San Juan,PR,San Juan Municipio,18.4,-66.05
00926,STANDARD,San Juan,PR,San Juan Municipio,18.35,-66.05
00927,STANDARD,San Juan,PR,San Juan Municipio,18.4,-66.06
00928,PO BOX,San Juan,PR,,18.4,-66.06
00929,PO BOX,San Juan,PR,San Juan,18.4,-66.06
00930,PO BOX,San Juan,PR,,18.4,-66.06
00931,PO BOX,San Juan,PR,San Juan,18.4,-66.06
00933,PO BOX,San Juan,PR,San Juan,18.4,-66.06
00934,STANDARD,Fort Buchanan,PR,Guaynabo Municipio,18.41,-66.12
00935,UNIQUE,San Juan,PR,San Juan,18.4,-66.06
00936,PO BOX,San Juan,PR,San Juan Municipio,18.4,-66.07
00937,PO BOX,San Juan,PR,San Juan,18.4,-66.06
00939,UNIQUE,San Juan,PR,San Juan,18.4,-66.06
00940,PO BOX,San Juan,PR,,18.4,-66.06
00949,STANDARD,Toa Baja,PR,Toa Baja Municipio,18.44,-66.25
00950,PO BOX,Toa Baja,PR,Dorado Municipio,18.46,-66.23
00951,PO BOX,Toa Baja,PR,Toa Baja Municipio,18.43,-66.25
00952,STANDARD,Sabana Seca,PR,Toa Baja Municipio,18.42,-66.19
00953,STANDARD,Toa Alta,PR,Toa Alta Municipio,18.39,-66.25
00954,PO BOX,Toa Alta,PR,Toa Alta,18.39,-66.25
00955,PO BOX,San Juan,PR,San Juan,18.4,-66.06
00956,STANDARD,Bayamon,PR,Bayamón Municipio,18.32,-66.17
00957,STANDARD,Bayamon,PR,Bayamón Municipio,18.37,-66.19
00958,PO BOX,Bayamon,PR,BayamÃ³n,18.28,-66.13
00959,STANDARD,Bayamon,PR,Bayamón Municipio,18.39,-66.15
00960,PO BOX,Bayamon,PR,Bayamón Municipio,18.42,-66.15
00961,STANDARD,Bayamon,PR,Bayamón Municipio,18.41,-66.17
00962,STANDARD,Catano,PR,Cataño Municipio,18.44,-66.15
00963,PO BOX,Catano,PR,CataÃ±o,18.43,-66.11
00965,STANDARD,Guaynabo,PR,Guaynabo Municipio,18.43,-66.11
00966,STANDARD,Guaynabo,PR,Guaynabo Municipio,18.4,-66.12
00968,STANDARD,Guaynabo,PR,Guaynabo Municipio,18.41,-66.1
00969,STANDARD,Guaynabo,PR,Guaynabo Municipio,18.38,-66.11
00970,PO BOX,Guaynabo,PR,,18.38,-66.11
00971,STANDARD,Guaynabo,PR,Guaynabo Municipio,18.32,-66.12
00975,UNIQUE,San Juan,PR,San Juan,18.4,-66.06
00976,STANDARD,Trujillo Alto,PR,Trujillo Alto Municipio,18.36,-66.01
00977,PO BOX,Trujillo Alto,PR,,18.36,-66.01
00978,PO BOX,Saint Just,PR,San Juan,18.37,-66.01
00979,STANDARD,Carolina,PR,Carolina Municipio,18.44,-66.03
00981,PO BOX,Carolina,PR,Carolina,18.4,-65.98
00982,STANDARD,Carolina,PR,Carolina Municipio,18.41,-65.99
00983,STANDARD,Carolina,PR,Carolina Municipio,18.4,-65.98
00984,PO BOX,Carolina,PR,Carolina,18.4,-65.98
00985,STANDARD,Carolina,PR,Carolina Municipio,18.41,-65.95
00986,PO BOX,Carolina,PR,Carolina,18.4,-65.98
00987,STANDARD,Carolina,PR,Carolina Municipio,18.34,-65.94
00988,PO BOX,Carolina,PR,Carolina,18.4,-65.98
01001,STANDARD,Agawam,MA,Hampden County,42.06,-72.61
01002,STANDARD,Amherst,MA,Hampshire County,42.37,-72.52
01003,PO BOX,Amherst,MA,Hampshire County,42.39,-72.52
01004,PO BOX,Amherst,MA,Hampshire County,42.37,-72.52
01005,STANDARD,Barre,MA,Worcester County,42.42,-72.1
01007,STANDARD,Belchertown,MA,Hampshire County,42.27,-72.4
01008,STANDARD,Blandford,MA,Hampden County,42.18,-72.93
01009,PO BOX,Bondsville,MA,Hampden County,42.2,-72.34
01010,STANDARD,Brimfield,MA,Hampden County,42.11,-72.2
01011,STANDARD,Chester,MA,Hampden County,42.28,-72.98
01012,STANDARD,Chesterfield,MA,Hampshire County,42.4,-72.85
01013,STANDARD,Chicopee,MA,Hampden County,42.15,-72.6
01014,PO BOX,Chicopee,MA,Hampden County,42.17,-72.57
01020,STANDARD,Chicopee,MA,Hampden County,42.17,-72.57
01021,PO BOX,Chicopee,MA,Hampden County,42.17,-72.57
01022,STANDARD,Chicopee,MA,Hampden County,42.2,-72.54
01026,STANDARD,Cummington,MA,Hampshire County,42.46,-72.9
01027,STANDARD,Easthampton,MA,Hampshire County,42.26,-72.68
01028,STANDARD,East Longmeadow,MA,Hampden County,42.06,-72.51
01029,PO BOX,East Otis,MA,Berkshire County,42.17,-73.03
01030,STANDARD,Feeding Hills,MA,Hampden County,42.06,-72.67
01031,STANDARD,Gilbertville,MA,Worcester County,42.33,-72.2
01032,STANDARD,Goshen,MA,Hampshire County,42.46,-72.81
01033,STANDARD,Granby,MA,Hampshire County,42.26,-72.52
01034,STANDARD,Granville,MA,Hampden County,42.06,-72.86
01035,STANDARD,Hadley,MA,Hampshire County,42.35,-72.58
01036,STANDARD,Hampden,MA,Hampden County,42.06,-72.41
01037,PO BOX,Hardwick,MA,Worcester County,42.35,-72.2
01038,STANDARD,Hatfield,MA,Hampshire County,42.37,-72.6
01039,STANDARD,Haydenville,MA,Hampshire County,42.39,-72.7
01040,STANDARD,Holyoke,MA,Hampden County,42.21,-72.64
01041,PO BOX,Holyoke,MA,Hampden County,42.21,-72.64
01050,STANDARD,Huntington,MA,Hampshire County,42.23,-72.88
01053,STANDARD,Leeds,MA,Hampshire County,42.35,-72.71
01054,STANDARD,Leverett,MA,Franklin County,42.45,-72.5
01056,STANDARD,Ludlow,MA,Hampden County,42.16,-72.48
01057,STANDARD,Monson,MA,Hampden County,42.09,-72.31
01059,PO BOX,North Amherst,MA,Hampshire County,42.4,-72.52
01060,STANDARD,Northampton,MA,Hampshire County,42.32,-72.63
01061,PO BOX,Northampton,MA,Hampshire County,42.32,-72.67
01062,STANDARD,Florence,MA,Hampshire County,42.32,-72.67
01063,UNIQUE,Northampton,MA,Hampshire County,42.32,-72.64
01066,PO BOX,North Hatfield,MA,Hampshire County,42.41,-72.66
01068,STANDARD,Oakham,MA,Worcester County,42.35,-72.05
01069,STANDARD,Palmer,MA,Hampden County,42.16,-72.32
01070,STANDARD,Plainfield,MA,Hampshire County,42.51,-72.91
01071,STANDARD,Russell,MA,Hampden County,42.18,-72.85
01072,STANDARD,Shutesbury,MA,Franklin County,42.45,-72.4
01073,STANDARD,Southampton,MA,Hampshire County,42.23,-72.73
01074,PO BOX,South Barre,MA,Worcester County,42.39,-72.09
01075,STANDARD,South Hadley,MA,Hampshire County,42.26,-72.56
01077,STANDARD,Southwick,MA,Hampden County,42.05,-72.76
01079,PO BOX,Thorndike,MA,Hampden County,42.2,-72.33
01080,STANDARD,Three Rivers,MA,Hampden County,42.18,-72.37
01081,STANDARD,Wales,MA,Hampden County,42.06,-72.21
01082,STANDARD,Ware,MA,Hampshire County,42.25,-72.24
01083,PO BOX,Warren,MA,Worcester County,42.21,-72.19
01084,STANDARD,West Chesterfield,MA,Hampshire County,42.39,-72.88
01085,STANDARD,Westfield,MA,Hampden County,42.13,-72.75
01086,PO BOX,Westfield,MA,Hampden County,42.13,-72.79
01088,STANDARD,West Hatfield,MA,Hampshire County,42.39,-72.64
01089,STANDARD,West Springfield,MA,Hampden County,42.12,-72.65
01090,PO BOX,West Springfield,MA,Hampden County,42.12,-72.65
01092,PO BOX,West Warren,MA,Worcester County,42.19,-72.24
01093,PO BOX,Whately,MA,Franklin County,42.44,-72.65
01094,PO BOX,Wheelwright,MA,Worcester County,42.35,-72.14
01095,STANDARD,Wilbraham,MA,Hampden County,42.13,-72.43
01096,STANDARD,Williamsburg,MA,Hampshire County,42.4,-72.76
01097,PO BOX,Woronoco,MA,Hampden County,42.18,-72.83
01098,STANDARD,Worthington,MA,Hampshire County,42.41,-72.93
01101,PO BOX,Springfield,MA,Hampden County,42.11,-72.53
01102,PO BOX,Springfield,MA,Hampden County,42.11,-72.53
01103,STANDARD,Springfield,MA,Hampden County,42.1,-72.59
01104,STANDARD,Springfield,MA,Hampden County,42.13,-72.57
01105,STANDARD,Springfield,MA,Hampden County,42.1,-72.58
01106,STANDARD,Longmeadow,MA,Hampden County,42.04,-72.57
01107,STANDARD,Springfield,MA,Hampden County,42.12,-72.61
01108,STANDARD,Springfield,MA,Hampden County,42.08,-72.56
01109,STANDARD,Springfield,MA,Hampden County,42.11,-72.53
01111,UNIQUE,Springfield,MA,Hampden County,42.11,-72.53
01115,PO BOX,Springfield,MA,Hampden County,42.11,-72.53
01116,PO BOX,Longmeadow,MA,Hampden County,42.04,-72.57
01118,STANDARD,Springfield,MA,Hampden County,42.09,-72.53
01119,STANDARD,Springfield,MA,Hampden County,42.12,-72.51
01128,STANDARD,Springfield,MA,Hampden County,42.09,-72.49
01129,STANDARD,Springfield,MA,Hampden County,42.12,-72.49
01133,UNIQUE,Springfield,MA,Hampden County,42.1,-72.59
01138,PO BOX,Springfield,MA,Hampden County,42.11,-72.53
01139,PO BOX,Springfield,MA,Hampden County,42.11,-72.53
01144,STANDARD,Springfield,MA,Hampden County,42.11,-72.53
01151,STANDARD,Indian Orchard,MA,Hampden County,42.15,-72.51
01152,STANDARD,Springfield,MA,Hampden County,42.11,-72.53
01195,STANDARD,Springfield,MA,Hampden County,42.1,-72.58
01199,UNIQUE,Springfield,MA,Hampden County,42.12,-72.6
01201,STANDARD,Pittsfield,MA,Berkshire County,42.45,-73.26
01202,PO BOX,Pittsfield,MA,Berkshire County,42.45,-73.26
01203,PO BOX,Pittsfield,MA,Berkshire County,42.45,-73.26
01220,STANDARD,Adams,MA,Berkshire County,42.62,-73.11
01222,STANDARD,Ashley Falls,MA,Berkshire County,42.05,-73.33
01223,STANDARD,Becket,MA,Berkshire County,42.33,-73.07
01224,STANDARD,Berkshire,MA,Berkshire County,42.51,-73.2
01225,STANDARD,Cheshire,MA,Berkshire County,42.55,-73.15
01226,STANDARD,Dalton,MA,Berkshire County,42.47,-73.16
01227,PO BOX,Dalton,MA,Berkshire County,42.47,-73.16
01229,PO BOX,Glendale,MA,Berkshire County,42.28,-73.34
01230,STANDARD,Great Barrington,MA,Berkshire County,42.19,-73.35
01235,STANDARD,Hinsdale,MA,Berkshire County,42.42,-73.07
01236,STANDARD,Housatonic,MA,Berkshire County,42.27,-73.38
01237,STANDARD,Lanesboro,MA,Berkshire County,42.51,-73.22
01238,STANDARD,Lee,MA,Berkshire County,42.3,-73.25
01240,STANDARD,Lenox,MA,Berkshire County,42.35,-73.28
01242,PO BOX,Lenox Dale,MA,Berkshire County,42.33,-73.25
01243,PO BOX,Middlefield,MA,Hampshire County,42.35,-73.01
01244,PO BOX,Mill River,MA,Berkshire County,42.12,-73.26
01245,STANDARD,Monterey,MA,Berkshire County,42.18,-73.21
01247,STANDARD,North Adams,MA,Berkshire County,42.68,-73.11
01252,PO BOX,North Egremont,MA,Berkshire County,42.17,-73.44
01253,STANDARD,Otis,MA,Berkshire County,42.21,-73.11
01254,STANDARD,Richmond,MA,Berkshire County,42.37,-73.36
01255,STANDARD,Sandisfield,MA,Berkshire County,42.11,-73.13
01256,STANDARD,Savoy,MA,Berkshire County,42.56,-73.02
01257,STANDARD,Sheffield,MA,Berkshire County,42.1,-73.34
01258,STANDARD,South Egremont,MA,Berkshire County,42.11,-73.46
01259,STANDARD,Southfield,MA,Berkshire County,42.07,-73.23
01260,PO BOX,South Lee,MA,Berkshire County,42.3,-73.34
01262,PO BOX,Stockbridge,MA,Berkshire County,42.3,-73.32
01263,UNIQUE,Stockbridge,MA,Berkshire County,42.3,-73.32
01264,PO BOX,Tyringham,MA,Berkshire County,42.24,-73.19
01266,STANDARD,West Stockbridge,MA,Berkshire County,42.31,-73.39
01267,STANDARD,Williamstown,MA,Berkshire County,42.7,-73.2
01270,STANDARD,Windsor,MA,Berkshire County,42.51,-73.04
01301,STANDARD,Greenfield,MA,Franklin County,42.58,-72.59
01302,PO BOX,Greenfield,MA,Franklin County,42.58,-72.59
01330,STANDARD,Ashfield,MA,Franklin County,42.53,-72.78
01331,STANDARD,Athol,MA,Worcester County,42.59,-72.23
01337,STANDARD,Bernardston,MA,Franklin County,42.66,-72.55
01338,STANDARD,Buckland,MA,Franklin County,42.57,-72.82
01339,STANDARD,Charlemont,MA,Franklin County,42.63,-72.88
01340,STANDARD,Colrain,MA,Franklin County,42.66,-72.68
01341,STANDARD,Conway,MA,Franklin County,42.51,-72.68
01342,STANDARD,Deerfield,MA,Franklin County,42.55,-72.6
01343,STANDARD,Drury,MA,Berkshire County,42.66,-72.98
01344,STANDARD,Erving,MA,Franklin County,42.6,-72.4
01346,STANDARD,Heath,MA,Franklin County,42.66,-72.83
01347,PO BOX,Lake Pleasant,MA,Franklin County,42.56,-72.52
01349,STANDARD,Millers Falls,MA,Franklin County,42.56,-72.48
01350,PO BOX,Monroe Bridge,MA,Franklin County,42.72,-72.98
01351,STANDARD,Montague,MA,Franklin County,42.53,-72.53
01354,STANDARD,Gill,MA,Franklin County,42.62,-72.51
01355,STANDARD,New Salem,MA,Franklin County,42.5,-72.33
01360,STANDARD,Northfield,MA,Franklin County,42.7,-72.43
01364,STANDARD,Orange,MA,Franklin County,42.59,-72.3
01366,STANDARD,Petersham,MA,Worcester County,42.48,-72.18
01367,STANDARD,Rowe,MA,Franklin County,42.7,-72.9
01368,STANDARD,Royalston,MA,Worcester County,42.68,-72.18
01370,STANDARD,Shelburne Falls,MA,Franklin County,42.6,-72.74
01373,STANDARD,South Deerfield,MA,Franklin County,42.47,-72.59
01375,STANDARD,Sunderland,MA,Franklin County,42.46,-72.58
01376,STANDARD,Turners Falls,MA,Franklin County,42.59,-72.55
01378,STANDARD,Warwick,MA,Franklin County,42.68,-72.33
01379,STANDARD,Wendell,MA,Franklin County,42.55,-72.4
01380,STANDARD,Wendell Depot,MA,Franklin County,42.58,-72.37
01420,STANDARD,Fitchburg,MA,Worcester County,42.58,-71.81
01430,STANDARD,Ashburnham,MA,Worcester County,42.63,-71.9
01431,STANDARD,Ashby,MA,Middlesex County,42.68,-71.81
01432,STANDARD,Ayer,MA,Middlesex County,42.56,-71.58
01434,STANDARD,Devens,MA,Worcester County,42.53,-71.61
01436,STANDARD,Baldwinville,MA,Worcester County,42.6,-72.07
01438,PO BOX,East Templeton,MA,Worcester County,42.56,-72.03
01440,STANDARD,Gardner,MA,Worcester County,42.58,-71.98
01441,UNIQUE,Westminster,MA,Worcester County,42.58,-71.98
01450,STANDARD,Groton,MA,Middlesex County,42.6,-71.57
01451,STANDARD,Harvard,MA,Worcester County,42.5,-71.58
01452,STANDARD,Hubbardston,MA,Worcester County,42.48,-72.01
01453,STANDARD,Leominster,MA,Worcester County,42.51,-71.77
01460,STANDARD,Littleton,MA,Middlesex County,42.53,-71.47
01462,STANDARD,Lunenburg,MA,Worcester County,42.59,-71.72
01463,STANDARD,Pepperell,MA,Middlesex County,42.66,-71.58
01464,STANDARD,Shirley,MA,Middlesex County,42.54,-71.65
01467,PO BOX,Still River,MA,Worcester County,42.49,-71.61
01468,STANDARD,Templeton,MA,Worcester County,42.55,-72.06
01469,STANDARD,Townsend,MA,Middlesex County,42.66,-71.7
01470,UNIQUE,Groton,MA,Middlesex County,42.6,-71.57
01471,UNIQUE,Groton,MA,Middlesex County,42.6,-71.57
01472,PO BOX,West Groton,MA,Middlesex County,42.61,-71.62
01473,STANDARD,Westminster,MA,Worcester County,42.55,-71.9
01474,STANDARD,West Townsend,MA,Middlesex County,42.66,-71.74
01475,STANDARD,Winchendon,MA,Worcester County,42.68,-72.04
01477,PO BOX,Winchendon Springs,MA,Worcester County,42.69,-72.01
01501,STANDARD,Auburn,MA,Worcester County,42.2,-71.83
01503,STANDARD,Berlin,MA,Worcester County,42.38,-71.63
01504,STANDARD,Blackstone,MA,Worcester County,42.04,-71.53
01505,STANDARD,Boylston,MA,Worcester County,42.35,-71.73
01506,STANDARD,Brookfield,MA,Worcester County,42.21,-72.1
01507,STANDARD,Charlton,MA,Worcester County,42.13,-71.96
01508,PO BOX,Charlton City,MA,Worcester County,42.13,-71.96
01509,PO BOX,Charlton Depot,MA,Worcester County,42.13,-71.96
01510,STANDARD,Clinton,MA,Worcester County,42.41,-71.68
01515,STANDARD,East Brookfield,MA,Worcester County,42.22,-72.04
01516,STANDARD,Douglas,MA,Worcester County,42.05,-71.73
01517,PO BOX,East Princeton,MA,Worcester County,42.46,-71.89
01518,STANDARD,Fiskdale,MA,Worcester County,42.12,-72.11
01519,STANDARD,Grafton,MA,Worcester County,42.2,-71.68
01520,STANDARD,Holden,MA,Worcester County,42.35,-71.85
01521,STANDARD,Holland,MA,Hampden County,42.05,-72.15
01522,STANDARD,Jefferson,MA,Worcester County,42.38,-71.87
01523,STANDARD,Lancaster,MA,Worcester County,42.45,-71.66
01524,STANDARD,Leicester,MA,Worcester County,42.25,-71.9
01525,PO BOX,Linwood,MA,Worcester County,42.11,-71.63
01526,PO BOX,Manchaug,MA,Worcester County,42.12,-71.76
01527,STANDARD,Millbury,MA,Worcester County,42.19,-71.76
01529,STANDARD,Millville,MA,Worcester County,42.03,-71.58
01531,STANDARD,New Braintree,MA,Worcester County,42.31,-72.13
01532,STANDARD,Northborough,MA,Worcester County,42.31,-71.64
01534,STANDARD,Northbridge,MA,Worcester County,42.15,-71.65
01535,STANDARD,North Brookfield,MA,Worcester County,42.27,-72.08
01536,STANDARD,North Grafton,MA,Worcester County,42.23,-71.69
01537,STANDARD,North Oxford,MA,Worcester County,42.16,-71.88
01538,PO BOX,North Uxbridge,MA,Worcester County,42.05,-71.64
01540,STANDARD,Oxford,MA,Worcester County,42.11,-71.87
01541,STANDARD,Princeton,MA,Worcester County,42.45,-71.86
01542,STANDARD,Rochdale,MA,Worcester County,42.2,-71.9
