ZIP_CODE,EDU_NO_HS,EDU_HS_SOME_COLLEGE,EDU_BACHELOR_DEG,EDU_GRADUATE_DEG,HHI_BAND
48867,0.08,0.75,0.11,0.06,"40,000 to 50,000"
56101,0.1,0.68,0.16,0.06,"40,000 to 50,000"
55343,0.06,0.49,0.32,0.13,"50,000 to 60,000"
56258,0.08080808080808081,0.6161616161616161,0.2222222222222222,0.08080808080808081,"50,000 to 60,000"
56088,0.10891089108910891,0.7326732673267327,0.10891089108910891,0.04950495049504951,"50,000 to 60,000"
55105,0.010101010101010102,0.25252525252525254,0.3939393939393939,0.3434343434343434,"80,000 to 90,000"
56377,0.03,0.53,0.3,0.14,"70,000 to 80,000"
64117,0.13,0.68,0.13,0.06,"40,000 to 50,000"
63401,0.12,0.67,0.14,0.07,"40,000 to 50,000"
63376,0.05,0.59,0.24,0.12,"70,000 to 80,000"
63119,0.039603960396039604,0.3564356435643564,0.31683168316831684,0.2871287128712871,"70,000 to 80,000"
63110,0.09,0.41,0.27,0.23,"40,000 to 50,000"
69301,0.09,0.74,0.12,0.05,"50,000 to 60,000"
68462,0.03,0.62,0.26,0.09,"80,000 to 90,000"
68506,0.05,0.49,0.28,0.18,"50,000 to 60,000"
68769,0.05,0.74,0.17,0.04,"40,000 to 50,000"
43950,0.1,0.67,0.14,0.09,"60,000 to 70,000"
45505,0.22,0.71,0.05,0.02,"30,000 to 40,000"
44408,0.06,0.68,0.16,0.1,"50,000 to 60,000"
44129,0.10101010101010101,0.6868686868686869,0.15151515151515152,0.06060606060606061,"50,000 to 60,000"
44139,0.03,0.35,0.31,0.31,"90,000 to 100,00"
43160,0.13,0.71,0.12,0.04,"40,000 to 50,000"
44857,0.1111111111111111,0.7171717171717171,0.10101010101010101,0.0707070707070707,"40,000 to 50,000"
43612,0.12,0.76,0.08,0.04,"40,000 to 50,000"
43613,0.09,0.71,0.14,0.06,"40,000 to 50,000"
44875,0.12,0.73,0.11,0.04,"40,000 to 50,000"
43517,0.08,0.74,0.1,0.08,"50,000 to 60,000"
54301,0.08,0.57,0.23,0.12,"50,000 to 60,000"
53402,0.08,0.64,0.18,0.1,"50,000 to 60,000"
53913,0.09,0.66,0.17,0.08,"40,000 to 50,000"
53051,0.04040404040404041,0.5353535353535354,0.2828282828282828,0.1414141414141414,"70,000 to 80,000"
54495,0.07,0.8,0.1,0.03,"30,000 to 40,000"
06010,0.10101010101010101,0.6363636363636364,0.18181818181818182,0.08080808080808081,"60,000 to 70,000"
06424,0.05,0.56,0.22,0.17,"90,000 to 100,00"
01835,0.050505050505050504,0.5959595959595959,0.23232323232323232,0.12121212121212122,"70,000 to 80,000"
01040,0.21,0.55,0.15,0.09,"30,000 to 40,000"
01851,0.22,0.54,0.14,0.1,"50,000 to 60,000"
01501,0.07,0.55,0.24,0.14,"70,000 to 80,000"
04039,0.04,0.59,0.26,0.11,"70,000 to 80,000"
04572,0.08080808080808081,0.6363636363636364,0.1717171717171717,0.1111111111111111,"40,000 to 50,000"
03038,0.05,0.66,0.2,0.09,"60,000 to 70,000"
07410,0.07,0.41,0.31,0.21,"Over 100,000"
07018,0.15,0.66,0.13,0.06,"40,000 to 50,000"
08840,0.06,0.38,0.3,0.26,"Over 100,000"
13021,0.10101010101010101,0.6464646464646465,0.15151515151515152,0.10101010101010101,"40,000 to 50,000"
14526,0.05,0.4,0.27,0.28,"80,000 to 90,000"
11570,0.04040404040404041,0.3838383838383838,0.29292929292929293,0.2828282828282828,"Over 100,000"
11771,0.06,0.37,0.32,0.25,"Over 100,000"
10028,0.03,0.14,0.41,0.42,"Over 100,000"
14120,0.0707070707070707,0.6565656565656566,0.15151515151515152,0.12121212121212122,"50,000 to 60,000"
11372,0.23232323232323232,0.48484848484848486,0.18181818181818182,0.10101010101010101,"50,000 to 60,000"
11691,0.27,0.5,0.14,0.09,"40,000 to 50,000"
10314,0.09900990099009901,0.5742574257425742,0.18811881188118812,0.13861386138613863,"80,000 to 90,000"
13662,0.09900990099009901,0.6534653465346535,0.12871287128712872,0.1188118811881188,"40,000 to 50,000"
10504,0.020202020202020204,0.15151515151515152,0.3838383838383838,0.4444444444444444,"Over 100,000"
19054,0.08,0.74,0.13,0.05,"70,000 to 80,000"
16066,0.030303030303030304,0.3939393939393939,0.37373737373737376,0.20202020202020202,"Over 100,000"
19382,0.03,0.37,0.35,0.25,"90,000 to 100,00"
17050,0.05,0.46,0.3,0.19,"80,000 to 90,000"
19086,0.04,0.37,0.29,0.3,"Over 100,000"
19008,0.0707070707070707,0.5252525252525253,0.23232323232323232,0.1717171717171717,"80,000 to 90,000"
15425,0.12,0.73,0.11,0.04,"30,000 to 40,000"
18069,0.06,0.49,0.25,0.2,"80,000 to 90,000"
19006,0.06,0.42,0.29,0.23,"90,000 to 100,00"
19473,0.0594059405940594,0.5148514851485149,0.26732673267326734,0.15841584158415842,"90,000 to 100,00"
18018,0.1,0.63,0.16,0.11,"50,000 to 60,000"
19145,0.17,0.62,0.15,0.06,"30,000 to 40,000"
19135,0.17,0.7,0.1,0.03,"40,000 to 50,000"
17837,0.1485148514851485,0.48514851485148514,0.1782178217821782,0.18811881188118812,"50,000 to 60,000"
17019,0.08,0.62,0.19,0.11,"70,000 to 80,000"
05454,0.07,0.61,0.2,0.12,"70,000 to 80,000"
36089,0.29292929292929293,0.5757575757575758,0.06060606060606061,0.0707070707070707,"20,000 to 30,000"
35071,0.07,0.65,0.16,0.12,"60,000 to 70,000"
35756,0.08,0.45,0.31,0.16,"70,000 to 80,000"
35749,0.050505050505050504,0.5252525252525253,0.2727272727272727,0.15151515151515152,"80,000 to 90,000"
72212,0.0297029702970297,0.31683168316831684,0.38613861386138615,0.26732673267326734,"Over 100,000"
72205,0.06,0.45,0.29,0.2,"40,000 to 50,000"
72901,0.25,0.61,0.09,0.05,"20,000 to 30,000"
19951,0.11,0.57,0.2,0.12,"80,000 to 90,000"
32405,0.0891089108910891,0.6534653465346535,0.15841584158415842,0.09900990099009901,"40,000 to 50,000"
33351,0.11,0.6,0.21,0.08,"50,000 to 60,000"
33301,0.05,0.35,0.35,0.25,"80,000 to 90,000"
33026,0.06,0.53,0.25,0.16,"70,000 to 80,000"
33029,0.06930693069306931,0.5148514851485149,0.24752475247524752,0.16831683168316833,"Over 100,000"
33510,0.08,0.66,0.19,0.07,"50,000 to 60,000"
33914,0.07,0.67,0.17,0.09,"60,000 to 70,000"
32303,0.06060606060606061,0.5252525252525253,0.26262626262626265,0.15151515151515152,"40,000 to 50,000"
33138,0.21,0.44,0.22,0.13,"40,000 to 50,000"
33140,0.08,0.36,0.28,0.28,"70,000 to 80,000"
33756,0.14,0.6,0.18,0.08,"40,000 to 50,000"
34695,0.05,0.53,0.26,0.16,"60,000 to 70,000"
34986,0.08,0.57,0.22,0.13,"50,000 to 60,000"
32162,0.03,0.56,0.24,0.17,"60,000 to 70,000"
30680,0.17,0.67,0.11,0.05,"50,000 to 60,000"
31406,0.12,0.58,0.19,0.11,"40,000 to 50,000"
30809,0.06,0.51,0.25,0.18,"90,000 to 100,00"
30327,0.009900990099009901,0.16831683168316833,0.39603960396039606,0.42574257425742573,"Over 100,000"
30092,0.05,0.43,0.34,0.18,"60,000 to 70,000"
31716,0.19,0.72,0.06,0.03,"30,000 to 40,000"
30655,0.17,0.65,0.13,0.05,"40,000 to 50,000"
40507,0.08,0.46,0.27,0.19,"10,000 to 20,000"
40217,0.1188118811881188,0.5445544554455446,0.2079207920792079,0.12871287128712872,"40,000 to 50,000"
40214,0.18,0.64,0.12,0.06,"40,000 to 50,000"
70814,0.12,0.68,0.14,0.06,"50,000 to 60,000"
71457,0.1485148514851485,0.6237623762376238,0.13861386138613863,0.0891089108910891,"20,000 to 30,000"
70114,0.19,0.61,0.12,0.08,"20,000 to 30,000"
70130,0.0707070707070707,0.3333333333333333,0.3333333333333333,0.26262626262626265,"50,000 to 60,000"
71232,0.23,0.62,0.09,0.06,"30,000 to 40,000"
70047,0.05,0.6,0.25,0.1,"70,000 to 80,000"
70460,0.18811881188118812,0.6237623762376238,0.1188118811881188,0.06930693069306931,"40,000 to 50,000"
70447,0.04040404040404041,0.46464646464646464,0.32323232323232326,0.1717171717171717,"Over 100,000"
70448,0.05,0.44,0.32,0.19,"70,000 to 80,000"
21030,0.08,0.4,0.28,0.24,"60,000 to 70,000"
20852,0.05,0.25,0.3,0.4,"90,000 to 100,00"
20740,0.16161616161616163,0.36363636363636365,0.2222222222222222,0.25252525252525254,"60,000 to 70,000"
39532,0.12,0.65,0.15,0.08,"50,000 to 60,000"
28806,0.12,0.54,0.23,0.11,"40,000 to 50,000"
28778,0.12871287128712872,0.594059405940594,0.2079207920792079,0.06930693069306931,"40,000 to 50,000"
28904,0.11,0.64,0.15,0.1,"30,000 to 40,000"
28277,0.03,0.31,0.42,0.24,"Over 100,000"
27320,0.19,0.65,0.11,0.05,"40,000 to 50,000"
27615,0.04040404040404041,0.36363636363636365,0.3939393939393939,0.20202020202020202,"70,000 to 80,000"
73099,0.06060606060606061,0.6464646464646465,0.21212121212121213,0.08080808080808081,"70,000 to 80,000"
29135,0.14,0.68,0.1,0.08,"40,000 to 50,000"
29601,0.21,0.39,0.24,0.16,"40,000 to 50,000"
29615,0.04,0.47,0.32,0.17,"50,000 to 60,000"
29108,0.21782178217821782,0.6336633663366337,0.10891089108910891,0.039603960396039604,"30,000 to 40,000"
29150,0.18,0.59,0.14,0.09,"30,000 to 40,000"
37830,0.0707070707070707,0.5454545454545454,0.20202020202020202,0.18181818181818182,"50,000 to 60,000"
37934,0.02,0.38,0.34,0.26,"Over 100,000"
37919,0.06,0.37,0.31,0.26,"50,000 to 60,000"
37849,0.09,0.65,0.17,0.09,"60,000 to 70,000"
78216,0.11,0.54,0.23,0.12,"40,000 to 50,000"
78130,0.11,0.6,0.22,0.07,"60,000 to 70,000"
75044,0.12,0.49,0.27,0.12,"60,000 to 70,000"
75063,0.03,0.27,0.38,0.32,"80,000 to 90,000"
75028,0.03,0.4,0.37,0.2,"Over 100,000"
75154,0.17,0.6,0.16,0.07,"70,000 to 80,000"
77479,0.05,0.29,0.37,0.29,"Over 100,000"
77459,0.05,0.38,0.37,0.2,"Over 100,000"
77493,0.13,0.57,0.2,0.1,"80,000 to 90,000"
77024,0.030303030303030304,0.21212121212121213,0.40404040404040403,0.35353535353535354,"Over 100,000"
77345,0.0297029702970297,0.3465346534653465,0.40594059405940597,0.21782178217821782,"Over 100,000"
78380,0.27,0.6,0.09,0.04,"40,000 to 50,000"
75757,0.1,0.55,0.26,0.09,"60,000 to 70,000"
76180,0.1,0.6,0.22,0.08,"50,000 to 60,000"
78045,0.1414141414141414,0.5353535353535354,0.23232323232323232,0.09090909090909091,"60,000 to 70,000"
78664,0.1,0.58,0.22,0.1,"60,000 to 70,000"
22102,0.02,0.17,0.34,0.47,"Over 100,000"
22732,0.25252525252525254,0.43434343434343436,0.26262626262626265,0.050505050505050504,
23464,0.06930693069306931,0.6039603960396039,0.21782178217821782,0.10891089108910891,"70,000 to 80,000"
25314,0.04,0.37,0.3,0.29,"80,000 to 90,000"
26101,0.13,0.73,0.09,0.05,"30,000 to 40,000"
99518,0.06,0.65,0.21,0.08,"80,000 to 90,000"
85254,0.030303030303030304,0.43434343434343436,0.3333333333333333,0.20202020202020202,"90,000 to 100,00"
85142,0.06,0.62,0.21,0.11,"70,000 to 80,000"
85338,0.09090909090909091,0.6565656565656566,0.15151515151515152,0.10101010101010101,"70,000 to 80,000"
85712,0.1,0.56,0.2,0.14,"30,000 to 40,000"
85713,0.26,0.61,0.08,0.05,"30,000 to 40,000"
85128,0.19801980198019803,0.6732673267326733,0.0891089108910891,0.039603960396039604,"40,000 to 50,000"
86326,0.12871287128712872,0.693069306930693,0.09900990099009901,0.07920792079207921,"40,000 to 50,000"
85365,0.17,0.63,0.13,0.07,"40,000 to 50,000"
94611,0.030303030303030304,0.23232323232323232,0.36363636363636365,0.37373737373737376,"Over 100,000"
93657,0.27,0.57,0.11,0.05,"50,000 to 60,000"
90290,0.010101010101010102,0.30303030303030304,0.3333333333333333,0.35353535353535354,"Over 100,000"
91024,0.01,0.36,0.36,0.27,"90,000 to 100,00"
90041,0.12,0.43,0.31,0.14,"70,000 to 80,000"
93536,0.13,0.65,0.14,0.08,"70,000 to 80,000"
91740,0.14,0.59,0.18,0.09,"70,000 to 80,000"
91604,0.020202020202020204,0.32323232323232326,0.43434343434343436,0.2222222222222222,"90,000 to 100,00"
90250,0.24,0.55,0.15,0.06,"40,000 to 50,000"
90038,0.27,0.41,0.25,0.07,"30,000 to 40,000"
91340,0.39,0.52,0.07,0.02,"50,000 to 60,000"
90022,0.48484848484848486,0.4444444444444444,0.06060606060606061,0.010101010101010102,"40,000 to 50,000"
91214,0.04950495049504951,0.44554455445544555,0.32673267326732675,0.1782178217821782,"90,000 to 100,00"
90003,0.51,0.44,0.04,0.01,"30,000 to 40,000"
91316,0.07,0.44,0.31,0.18,"60,000 to 70,000"
93635,0.28,0.6,0.08,0.04,"40,000 to 50,000"
95334,0.46,0.42,0.08,0.04,"50,000 to 60,000"
92865,0.15,0.53,0.22,0.1,"90,000 to 100,00"
92804,0.27,0.52,0.17,0.04,"50,000 to 60,000"
95819,0.02,0.34,0.36,0.28,"Over 100,000"
95843,0.08,0.69,0.18,0.05,"70,000 to 80,000"
92109,0.03,0.32,0.45,0.2,"70,000 to 80,000"
92110,0.05,0.51,0.29,0.15,"60,000 to 70,000"
92126,0.09,0.46,0.3,0.15,"90,000 to 100,00"
93401,0.06,0.44,0.3,0.2,"50,000 to 60,000"
95008,0.06,0.43,0.32,0.19,"Over 100,000"
95119,0.06,0.54,0.26,0.14,"Over 100,000"
95076,0.35353535353535354,0.48484848484848486,0.10101010101010101,0.06060606060606061,"60,000 to 70,000"
95472,0.06,0.49,0.27,0.18,"70,000 to 80,000"
95379,0.09,0.69,0.18,0.04,"60,000 to 70,000"
93060,0.36,0.5,0.09,0.05,"50,000 to 60,000"
95618,0.03,0.24,0.31,0.42,"80,000 to 90,000"
80922,0.05,0.57,0.26,0.12,"80,000 to 90,000"
80537,0.05,0.62,0.21,0.12,"60,000 to 70,000"
80530,0.07,0.62,0.24,0.07,"70,000 to 80,000"
96778,0.07,0.7,0.13,0.1,"30,000 to 40,000"
83262,0.1,0.74,0.11,0.05,"60,000 to 70,000"
89081,0.13,0.68,0.14,0.05,"60,000 to 70,000"
89015,0.13,0.71,0.1,0.06,"50,000 to 60,000"
89108,0.21,0.66,0.09,0.04,"40,000 to 50,000"
97527,0.11,0.71,0.11,0.07,"40,000 to 50,000"
97060,0.12,0.66,0.18,0.04,"60,000 to 70,000"
97239,0.02,0.25,0.36,0.37,"80,000 to 90,000"
84020,0.04,0.46,0.3,0.2,"Over 100,000"
84405,0.06,0.66,0.2,0.08,"60,000 to 70,000"
98826,0.1,0.55,0.22,0.13,"50,000 to 60,000"
98004,0.02,0.23,0.41,0.34,"Over 100,000"
98272,0.11,0.65,0.17,0.07,"80,000 to 90,000"
99163,0.039603960396039604,0.33663366336633666,0.26732673267326734,0.3564356435643564,"30,000 to 40,000"
82716,0.1188118811881188,0.7425742574257426,0.10891089108910891,0.0297029702970297,"70,000 to 80,000"
50682,0.06,0.74,0.13,0.07,"60,000 to 70,000"
50585,0.06,0.74,0.15,0.05,"60,000 to 70,000"
52772,0.05,0.79,0.13,0.03,"60,000 to 70,000"
51012,0.11,0.7,0.13,0.06,"50,000 to 60,000"
52041,0.09,0.82,0.08,0.01,"60,000 to 70,000"
52068,0.039603960396039604,0.5841584158415841,0.27722772277227725,0.09900990099009901,"90,000 to 100,00"
51334,0.11,0.65,0.17,0.07,"50,000 to 60,000"
50468,0.039603960396039604,0.7920792079207921,0.10891089108910891,0.0594059405940594,"50,000 to 60,000"
50208,0.08,0.76,0.12,0.04,"50,000 to 60,000"
50511,0.04040404040404041,0.7070707070707071,0.20202020202020202,0.050505050505050504,"50,000 to 60,000"
50590,0.0891089108910891,0.801980198019802,0.09900990099009901,0.009900990099009901,"30,000 to 40,000"
51237,0.11,0.71,0.13,0.05,"50,000 to 60,000"
50219,0.07,0.54,0.27,0.12,"70,000 to 80,000"
51024,0.04,0.72,0.18,0.06,"70,000 to 80,000"
50313,0.15151515151515152,0.7171717171717171,0.10101010101010101,0.030303030303030304,"50,000 to 60,000"
50111,0.019801980198019802,0.5247524752475248,0.31683168316831684,0.13861386138613863,"90,000 to 100,00"
50266,0.039603960396039604,0.33663366336633666,0.40594059405940597,0.21782178217821782,"70,000 to 80,000"
50009,0.0594059405940594,0.6237623762376238,0.2376237623762376,0.07920792079207921,"70,000 to 80,000"
52339,0.13861386138613863,0.7326732673267327,0.07920792079207921,0.04950495049504951,"50,000 to 60,000"
51055,0.030303030303030304,0.7373737373737373,0.1414141414141414,0.09090909090909091,"60,000 to 70,000"
61820,0.050505050505050504,0.45454545454545453,0.23232323232323232,0.26262626262626265,"20,000 to 30,000"
61859,0.05,0.69,0.17,0.09,"60,000 to 70,000"
62839,0.1,0.73,0.11,0.06,"40,000 to 50,000"
60714,0.13,0.55,0.22,0.1,"50,000 to 60,000"
60419,0.14,0.69,0.12,0.05,"40,000 to 50,000"
60070,0.16,0.49,0.22,0.13,"60,000 to 70,000"
60201,0.05,0.25,0.29,0.41,"70,000 to 80,000"
60615,0.06060606060606061,0.36363636363636365,0.23232323232323232,0.3434343434343434,"40,000 to 50,000"
60525,0.07,0.44,0.28,0.21,"70,000 to 80,000"
62449,0.12,0.7,0.13,0.05,"40,000 to 50,000"
61727,0.09900990099009901,0.6732673267326733,0.16831683168316833,0.0594059405940594,"50,000 to 60,000"
60565,0.019801980198019802,0.2871287128712871,0.38613861386138615,0.3069306930693069,"Over 100,000"
60527,0.0297029702970297,0.40594059405940597,0.297029702970297,0.26732673267326734,"80,000 to 90,000"
60416,0.05,0.77,0.11,0.07,"70,000 to 80,000"
60175,0.03,0.42,0.35,0.2,"Over 100,000"
61341,0.10101010101010101,0.7474747474747475,0.10101010101010101,0.050505050505050504,"50,000 to 60,000"
60089,0.0297029702970297,0.31683168316831684,0.37623762376237624,0.27722772277227725,"Over 100,000"
62001,0.07,0.7,0.19,0.04,"70,000 to 80,000"
62881,0.09,0.73,0.11,0.07,"40,000 to 50,000"
61705,0.019801980198019802,0.39603960396039606,0.4158415841584158,0.16831683168316833,"Over 100,000"
61761,0.030303030303030304,0.47474747474747475,0.31313131313131315,0.18181818181818182,"50,000 to 60,000"
61571,0.04950495049504951,0.6237623762376238,0.22772277227722773,0.09900990099009901,"60,000 to 70,000"
61554,0.09,0.72,0.13,0.06,"50,000 to 60,000"
61081,0.1,0.7,0.12,0.08,"50,000 to 60,000"
60423,0.04,0.52,0.28,0.16,"Over 100,000"
60491,0.05,0.56,0.25,0.14,"90,000 to 100,00"
60544,0.0594059405940594,0.5841584158415841,0.22772277227722773,0.12871287128712872,"70,000 to 80,000"
60404,0.07,0.54,0.23,0.16,"90,000 to 100,00"
60441,0.0891089108910891,0.6336633663366337,0.1782178217821782,0.09900990099009901,"70,000 to 80,000"
62948,0.09900990099009901,0.6831683168316832,0.15841584158415842,0.0594059405940594,"40,000 to 50,000"
61063,0.04040404040404041,0.7676767676767676,0.1414141414141414,0.050505050505050504,"60,000 to 70,000"
61072,0.04950495049504951,0.6633663366336634,0.18811881188118812,0.09900990099009901,"70,000 to 80,000"
61114,0.07,0.51,0.21,0.21,"70,000 to 80,000"
46806,0.26,0.67,0.05,0.02,"20,000 to 30,000"
47025,0.07,0.68,0.16,0.09,"60,000 to 70,000"
46516,0.22,0.65,0.08,0.05,"40,000 to 50,000"
46543,0.46,0.47,0.04,0.03,"70,000 to 80,000"
46033,0.010101010101010102,0.2727272727272727,0.43434343434343436,0.2828282828282828,"Over 100,000"
46032,0.0297029702970297,0.2871287128712871,0.4158415841584158,0.26732673267326734,"90,000 to 100,00"
46062,0.0594059405940594,0.49504950495049505,0.3069306930693069,0.13861386138613863,"80,000 to 90,000"
46123,0.06060606060606061,0.5353535353535354,0.2727272727272727,0.13131313131313133,"80,000 to 90,000"
47274,0.12,0.7,0.12,0.06,"40,000 to 50,000"
47265,0.15841584158415842,0.7326732673267327,0.07920792079207921,0.0297029702970297,"40,000 to 50,000"
46143,0.08,0.58,0.24,0.1,"60,000 to 70,000"
47512,0.13,0.75,0.08,0.04,"40,000 to 50,000"
46259,0.04,0.55,0.28,0.13,"Over 100,000"
46237,0.09,0.58,0.23,0.1,"60,000 to 70,000"
46563,0.15,0.63,0.14,0.08,"50,000 to 60,000"
46926,0.1414141414141414,0.7171717171717171,0.08080808080808081,0.06060606060606061,"50,000 to 60,000"
46160,0.18181818181818182,0.6868686868686869,0.08080808080808081,0.050505050505050504,"50,000 to 60,000"
46383,0.07,0.59,0.21,0.13,"50,000 to 60,000"
46341,0.09,0.74,0.11,0.06,"60,000 to 70,000"
46574,0.1188118811881188,0.7425742574257426,0.0891089108910891,0.04950495049504951,"50,000 to 60,000"
46530,0.04,0.45,0.29,0.22,"90,000 to 100,00"
47720,0.08,0.62,0.18,0.12,"60,000 to 70,000"
66032,0.09090909090909091,0.696969696969697,0.1111111111111111,0.10101010101010101,"30,000 to 40,000"
66439,0.08080808080808081,0.7676767676767676,0.08080808080808081,0.0707070707070707,"30,000 to 40,000"
66713,0.13,0.7,0.12,0.05,"30,000 to 40,000"
66090,0.09,0.73,0.14,0.04,"50,000 to 60,000"
66025,0.07,0.58,0.25,0.1,"70,000 to 80,000"
67853,0.13861386138613863,0.594059405940594,0.19801980198019803,0.06930693069306931,"60,000 to 70,000"
67854,0.07,0.69,0.17,0.07,"50,000 to 60,000"
66066,0.08,0.63,0.22,0.07,"60,000 to 70,000"
66207,0.010101010101010102,0.31313131313131315,0.36363636363636365,0.31313131313131315,"80,000 to 90,000"
66085,0.010101010101010102,0.3838383838383838,0.3333333333333333,0.2727272727272727,"Over 100,000"
66221,0.02,0.23,0.44,0.31,"Over 100,000"
66213,0.02,0.3,0.41,0.27,"90,000 to 100,00"
67356,0.12,0.75,0.09,0.04,"40,000 to 50,000"
66027,0.03,0.38,0.29,0.3,"90,000 to 100,00"
67546,0.15,0.61,0.17,0.07,"60,000 to 70,000"
66524,0.050505050505050504,0.7070707070707071,0.1414141414141414,0.10101010101010101,"60,000 to 70,000"
67026,0.06,0.66,0.22,0.06,"70,000 to 80,000"
66402,0.03,0.63,0.25,0.09,"80,000 to 90,000"
66614,0.05,0.55,0.25,0.15,"50,000 to 60,000"
49408,0.15841584158415842,0.6138613861386139,0.15841584158415842,0.06930693069306931,"50,000 to 60,000"
48708,0.12,0.7,0.12,0.06,"30,000 to 40,000"
49106,0.06930693069306931,0.6534653465346535,0.16831683168316833,0.10891089108910891,"50,000 to 60,000"
48622,0.1111111111111111,0.7474747474747475,0.09090909090909091,0.050505050505050504,"40,000 to 50,000"
48879,0.08080808080808081,0.7070707070707071,0.1414141414141414,0.0707070707070707,"50,000 to 60,000"
48423,0.06,0.72,0.14,0.08,"50,000 to 60,000"
48880,0.13,0.78,0.06,0.03,"40,000 to 50,000"
48849,0.07,0.78,0.1,0.05,"50,000 to 60,000"
48883,0.09900990099009901,0.7029702970297029,0.13861386138613863,0.0594059405940594,"50,000 to 60,000"
49341,0.039603960396039604,0.504950495049505,0.2871287128712871,0.16831683168316833,"80,000 to 90,000"
49418,0.06,0.58,0.24,0.12,"60,000 to 70,000"
49315,0.0707070707070707,0.5757575757575758,0.25252525252525254,0.10101010101010101,"70,000 to 80,000"
48114,0.04,0.51,0.29,0.16,"90,000 to 100,00"
48169,0.0594059405940594,0.6039603960396039,0.21782178217821782,0.1188118811881188,"70,000 to 80,000"
48048,0.16,0.69,0.1,0.05,"50,000 to 60,000"
48044,0.07,0.58,0.23,0.12,"90,000 to 100,00"
48315,0.09,0.58,0.19,0.14,"70,000 to 80,000"
49841,0.0594059405940594,0.7326732673267327,0.12871287128712872,0.07920792079207921,"40,000 to 50,000"
49431,0.07,0.67,0.16,0.1,"40,000 to 50,000"
48642,0.04,0.55,0.24,0.17,"60,000 to 70,000"
49442,0.16161616161616163,0.7575757575757576,0.06060606060606061,0.020202020202020204,"30,000 to 40,000"
49425,0.17,0.73,0.08,0.02,"40,000 to 50,000"
49415,0.05,0.73,0.16,0.06,"50,000 to 60,000"
49441,0.07,0.66,0.19,0.08,"40,000 to 50,000"
48070,0.01,0.19,0.34,0.46,"Over 100,000"
48346,0.07,0.57,0.24,0.12,"70,000 to 80,000"
48350,0.07,0.58,0.23,0.12,"70,000 to 80,000"
48327,0.09,0.67,0.17,0.07,"50,000 to 60,000"
49455,0.18,0.64,0.11,0.07,"40,000 to 50,000"
49464,0.08,0.64,0.19,0.09,"70,000 to 80,000"
48059,0.09090909090909091,0.6868686868686869,0.13131313131313133,0.09090909090909091,"50,000 to 60,000"
48466,0.12,0.8,0.06,0.02,"40,000 to 50,000"
48236,0.020202020202020204,0.37373737373737376,0.32323232323232326,0.2828282828282828,"Over 100,000"
48188,0.050505050505050504,0.43434343434343436,0.2828282828282828,0.23232323232323232,"90,000 to 100,00"
48187,0.04950495049504951,0.46534653465346537,0.2871287128712871,0.19801980198019803,"80,000 to 90,000"
48164,0.07,0.64,0.18,0.11,"90,000 to 100,00"
48101,0.07,0.68,0.16,0.09,"60,000 to 70,000"
55304,0.04,0.62,0.24,0.1,"Over 100,000"
56329,0.08,0.76,0.11,0.05,"60,000 to 70,000"
55315,0.0594059405940594,0.504950495049505,0.297029702970297,0.13861386138613863,"Over 100,000"
55013,0.08,0.71,0.14,0.07,"80,000 to 90,000"
56529,0.07,0.7,0.15,0.08,"50,000 to 60,000"
